Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,48.275002,48.474998,47.055000,47.514999,43.770935,4985800
2015-01-05,47.255001,47.275002,46.564999,46.750000,43.066204,6889200
2015-01-06,46.945000,47.075001,46.035000,46.474998,42.812881,7576000
2015-01-07,46.805000,47.650002,46.549999,47.435001,43.697227,7256000
2015-01-08,47.830002,48.549999,47.810001,48.529999,44.705956,5978200
2015-01-09,48.465000,48.494999,47.799999,47.994999,44.213108,4689000
2015-01-12,47.955002,48.259998,47.615002,47.930000,44.153233,5630800
2015-01-13,48.169998,48.724998,47.314999,47.505001,43.761719,6182200
2015-01-14,46.689999,47.185001,46.455002,46.855000,43.162922,6750400
2015-01-15,47.314999,47.340000,46.285000,46.404999,42.748386,4235000
2015-01-16,46.384998,46.564999,46.014999,46.494999,42.831299,8770000
2015-01-20,46.720001,46.945000,46.310001,46.805000,43.116871,9403800
2015-01-21,46.555000,47.064999,46.505001,46.755001,43.070824,5854000
2015-01-22,47.174999,48.055000,46.779999,47.924999,44.148624,6952400
2015-01-23,48.070000,48.375000,47.825001,48.080002,44.291409,6781000
2015-01-26,48.000000,48.235001,47.775002,48.174999,44.378922,4964000
2015-01-27,47.650002,47.724998,47.060001,47.250000,43.526817,6696800
2015-01-28,47.500000,47.660000,46.625000,46.654999,42.978691,6402600
2015-01-29,46.834999,47.435001,46.584999,47.435001,43.697227,6802400
2015-01-30,46.959999,47.180000,46.049999,46.125000,42.490456,8106400
2015-02-02,46.340000,46.345001,45.384998,45.959999,42.338451,8056600
2015-02-03,46.115002,46.695000,46.014999,46.674999,42.997116,7940200
2015-02-04,46.384998,46.634998,46.134998,46.270000,42.624027,7187400
2015-02-05,46.439999,46.794998,46.279999,46.669998,42.992504,5754400
2015-02-06,46.700001,46.735001,45.770000,45.895000,42.278576,7381800
2015-02-09,45.750000,45.849998,45.345001,45.584999,41.993011,7339400
2015-02-10,45.869999,46.549999,45.610001,46.375000,42.720745,7694600
2015-02-11,46.244999,46.375000,45.474998,45.654999,42.057499,8541000
2015-02-12,45.730000,46.330002,45.400002,46.000000,42.375309,11855800
2015-02-13,46.009998,46.285000,45.950001,46.020000,42.393715,7695600
2015-02-17,45.869999,46.450001,45.860001,45.930000,42.310825,7371000
2015-02-18,45.770000,46.884998,45.715000,46.810001,43.121483,8143800
2015-02-19,46.740002,47.130001,46.740002,46.849998,43.158325,6605200
2015-02-20,46.805000,47.645000,46.674999,47.465000,43.724873,7398000
2015-02-23,47.459999,47.615002,47.139999,47.505001,43.761719,4622200
2015-02-24,47.375000,47.770000,47.375000,47.709999,43.950554,5239200
2015-02-25,47.709999,48.599998,47.709999,48.410000,44.595402,7053600
2015-02-26,48.330002,48.665001,48.325001,48.494999,44.803272,5935000
2015-02-27,48.474998,48.705002,48.314999,48.560001,44.863319,7118600
2015-03-02,48.445000,49.430000,48.375000,49.375000,45.616280,11025000
2015-03-03,49.220001,49.235001,48.560001,48.985001,45.255985,7038400
2015-03-04,48.834999,48.935001,48.480000,48.759998,45.048096,4853000
2015-03-05,48.980000,49.340000,48.895000,49.230000,45.482319,6633600
2015-03-06,49.230000,49.345001,48.299999,48.455002,44.766315,7174600
2015-03-09,48.544998,48.910000,48.470001,48.715000,45.006519,5938800
2015-03-10,48.209999,48.485001,48.125000,48.255001,44.581547,7096000
2015-03-11,48.189999,48.540001,47.590000,47.669998,44.041077,7484200
2015-03-12,47.750000,48.549999,47.689999,48.520000,44.826366,5809800
2015-03-13,48.520000,48.740002,47.650002,47.904999,44.258194,7396200
2015-03-16,48.099998,48.400002,47.965000,48.220001,44.549206,8497000
2015-03-17,48.070000,48.389999,47.755001,48.270000,44.595402,6408200
2015-03-18,48.270000,48.935001,47.805000,48.755001,45.043480,8855600
2015-03-19,48.904999,49.310001,48.605000,49.160000,45.417660,13536000
2015-03-20,51.314999,51.895000,50.625000,50.990002,47.108334,29779800
2015-03-23,50.775002,51.299999,50.599998,50.730000,46.868130,10471800
2015-03-24,50.525002,50.830002,50.299999,50.325001,46.493958,7598800
2015-03-25,50.500000,50.590000,49.470001,49.494999,45.727142,8133400
2015-03-26,49.169998,50.044998,48.834999,49.665001,45.884212,9479800
2015-03-27,49.560001,50.090000,49.560001,49.939999,46.138271,4403600
2015-03-30,50.615002,50.775002,50.270000,50.445000,46.604824,5435400
2015-03-31,50.439999,50.919998,50.145000,50.165001,46.346127,6309200
2015-04-01,50.000000,50.139999,49.169998,49.775002,45.985828,6605400
2015-04-02,50.020000,50.160000,49.695000,49.830002,46.036652,3840400
2015-04-06,49.375000,50.314999,49.275002,49.865002,46.068981,5027400
2015-04-07,49.865002,50.130001,49.735001,49.805000,46.013561,3993600
2015-04-08,50.000000,50.485001,49.860001,50.419998,46.581741,6522400
2015-04-09,50.500000,50.845001,50.299999,50.360001,46.526295,5301000
2015-04-10,50.459999,50.540001,49.965000,49.985001,46.179852,5918200
2015-04-13,49.985001,50.029999,49.529999,49.634998,45.856495,7313800
2015-04-14,49.529999,49.904999,49.349998,49.764999,45.976585,4770800
2015-04-15,50.314999,50.365002,49.865002,49.915001,46.115177,5716200
2015-04-16,49.744999,50.084999,49.700001,49.950001,46.147518,4104000
2015-04-17,49.584999,49.685001,49.070000,49.275002,45.523888,6049600
2015-04-20,49.540001,50.169998,49.509998,49.994999,46.189083,6208600
2015-04-21,50.380001,50.424999,49.860001,50.145000,46.327660,5125200
2015-04-22,50.150002,50.195000,49.645000,50.075001,46.262989,3905800
2015-04-23,49.889999,50.799999,49.724998,50.555000,46.706448,4668200
2015-04-24,50.230000,50.639999,50.105000,50.474998,46.632542,4334000
2015-04-27,50.634998,51.000000,50.384998,50.470001,46.627930,5158400
2015-04-28,50.400002,50.400002,49.595001,49.930000,46.129036,6031600
2015-04-29,49.764999,50.244999,49.630001,50.084999,46.272232,5395200
2015-04-30,49.875000,50.255001,49.230000,49.419998,45.657860,6497000
2015-05-01,49.939999,50.410000,49.705002,50.389999,46.554024,6683400
2015-05-04,50.500000,50.599998,50.240002,50.415001,46.577110,4557800
2015-05-05,50.215000,50.435001,50.130001,50.209999,46.387722,5104400
2015-05-06,50.134998,50.500000,49.840000,50.110001,46.295338,5396600
2015-05-07,50.224998,50.794998,50.009998,50.724998,46.863506,5526200
2015-05-08,51.145000,51.650002,51.145000,51.220001,47.320843,5534800
2015-05-11,51.209999,51.610001,51.044998,51.395000,47.482498,5339800
2015-05-12,50.990002,51.345001,50.799999,51.185001,47.288486,4676400
2015-05-13,51.345001,51.365002,50.895000,51.080002,47.191486,4508200
2015-05-14,51.470001,51.755001,51.154999,51.720001,47.782768,5433400
2015-05-15,51.825001,52.514999,51.685001,52.490002,48.494160,7865200
2015-05-18,52.555000,52.750000,52.209999,52.375000,48.387905,5045200
2015-05-19,52.310001,52.590000,52.174999,52.320000,48.337086,5971200
2015-05-20,52.459999,52.575001,52.105000,52.305000,48.323235,5399200
2015-05-21,52.435001,52.599998,52.119999,52.200001,48.226242,5455200
2015-05-22,52.605000,52.610001,52.020000,52.215000,48.240086,5654800
2015-05-26,52.215000,52.375000,51.590000,51.709999,47.773529,5691400
2015-05-27,51.740002,51.959999,51.154999,51.419998,47.505604,8896800
2015-05-28,51.115002,51.474998,50.755001,51.150002,47.385162,5781600
2015-05-29,51.150002,51.189999,50.520000,50.834999,47.093349,5562200
2015-06-01,50.884998,51.145000,50.724998,50.880001,47.135036,4944000
2015-06-02,50.900002,51.345001,50.750000,51.055000,47.297165,4974400
2015-06-03,51.145000,51.544998,50.884998,51.255001,47.482437,4766800
2015-06-04,51.029999,51.650002,50.810001,50.974998,47.223042,4467200
2015-06-05,50.750000,51.125000,50.564999,51.014999,47.260105,3791800
2015-06-08,50.799999,50.945000,50.689999,50.720001,46.986828,4314000
2015-06-09,50.744999,50.965000,50.389999,50.674999,46.945133,3476800
2015-06-10,50.915001,52.014999,50.830002,51.669998,47.866894,6270400
2015-06-11,52.544998,52.560001,51.735001,51.939999,48.117031,6178000
2015-06-12,51.775002,52.049999,51.605000,51.889999,48.070709,4133000
2015-06-15,51.549999,51.924999,51.365002,51.674999,47.871536,4902000
